t,  x,  y
0.000000e+00,  2.000000e-04,  1.000000e+00
4.000000e-04,  6.000000e-04,  9.999998e-01
1.200000e-03,  1.400000e-03,  9.999990e-01
2.800000e-03,  2.999996e-03,  9.999955e-01
6.000000e-03,  6.199960e-03,  9.999808e-01
1.240000e-02,  1.259967e-02,  9.999206e-01
2.520000e-02,  2.539727e-02,  9.996774e-01
5.080000e-02,  5.097789e-02,  9.986998e-01
1.020000e-01,  1.020222e-01,  9.947821e-01
2.044000e-01,  2.031755e-01,  9.791423e-01
3.418058e-01,  3.353774e-01,  9.420838e-01
4.861076e-01,  4.673648e-01,  8.840646e-01
6.315905e-01,  5.905906e-01,  8.069714e-01
7.772709e-01,  7.014792e-01,  7.126899e-01
7.853982e-01,  7.072482e-01,  7.069653e-01
1.076825e+00,  8.805515e-01,  4.739501e-01
1.225366e+00,  9.409973e-01,  3.384135e-01
1.371551e+00,  9.802557e-01,  1.977330e-01
1.517349e+00,  9.985825e-01,  5.322222e-02
1.570796e+00,  9.999998e-01,  -2.001058e-04
1.862262e+00,  9.577659e-01,  -2.875480e-01
2.010803e+00,  9.046631e-01,  -4.261268e-01
2.156989e+00,  8.329417e-01,  -5.533601e-01
2.302787e+00,  7.437116e-01,  -6.685001e-01
2.356195e+00,  7.069650e-01,  -7.072481e-01
2.647660e+00,  4.739155e-01,  -8.805698e-01
2.796202e+00,  3.383761e-01,  -9.410104e-01
2.942387e+00,  1.976939e-01,  -9.802633e-01
3.088185e+00,  5.318245e-02,  -9.985843e-01
3.141593e+00,  -2.002946e-04,  -9.999995e-01
3.433058e+00,  -2.875481e-01,  -9.577655e-01
