t,  x,  y
2.587582e+00,  5.261023e-01,  -8.504213e-01
2.610680e+00,  5.063210e-01,  -8.623451e-01
2.633777e+00,  4.862694e-01,  -8.738089e-01
2.656875e+00,  4.659584e-01,  -8.848066e-01
2.679973e+00,  4.453988e-01,  -8.953323e-01
2.703071e+00,  4.246015e-01,  -9.053803e-01
2.726169e+00,  4.035778e-01,  -9.149453e-01
2.749267e+00,  3.823387e-01,  -9.240223e-01
2.772365e+00,  3.608956e-01,  -9.326062e-01
2.795462e+00,  3.392600e-01,  -9.406926e-01
2.818560e+00,  3.174435e-01,  -9.482772e-01
2.841658e+00,  2.954576e-01,  -9.553559e-01
2.864756e+00,  2.733142e-01,  -9.619248e-01
2.887854e+00,  2.510248e-01,  -9.679807e-01
2.910952e+00,  2.286014e-01,  -9.735201e-01
2.934050e+00,  2.060562e-01,  -9.785402e-01
2.957148e+00,  1.834011e-01,  -9.830382e-01
2.980245e+00,  1.606481e-01,  -9.870117e-01
3.003343e+00,  1.378094e-01,  -9.904588e-01
3.026441e+00,  1.148972e-01,  -9.933774e-01
3.049539e+00,  9.192372e-02,  -9.957661e-01
3.072637e+00,  6.890117e-02,  -9.976235e-01
3.095735e+00,  4.584189e-02,  -9.989487e-01
3.118833e+00,  2.275814e-02,  -9.997410e-01
3.141593e+00,  -5.641064e-08,  -1.000000e+00
3.164976e+00,  -2.338100e-02,  -9.997266e-01
